Wall time,Step,Value
1702416683.824516,2048,-45.13333511352539
1702416693.5517943,4096,-43.36559295654297
1702416703.0639775,6144,-43.08000183105469
1702416712.5957959,8192,-44.34000015258789
1702416721.3557818,10240,-43.880001068115234
1702416731.260267,12288,-42.54999923706055
1702416740.1232376,14336,-44.4900016784668
1702416748.6500266,16384,-42.790000915527344
1702416757.981429,18432,-42.560001373291016
1702416767.8220928,20480,-42.61000061035156
1702416776.4864511,22528,-42.15999984741211
1702416785.2347844,24576,-40.29999923706055
1702416794.32419,26624,-39.650001525878906
1702416802.3646116,28672,-40.459999084472656
1702416810.9084072,30720,-40.209999084472656
1702416819.3597214,32768,-40.20000076293945
1702416827.8607004,34816,-38.27000045776367
1702416836.4424622,36864,-39.7400016784668
1702416844.9196029,38912,-41.38999938964844
1702416853.8698308,40960,-38.61000061035156
1702416862.744485,43008,-36.33000183105469
1702416872.1457868,45056,-37.720001220703125
1702416880.4689157,47104,-38.720001220703125
1702416888.4737773,49152,-34.18000030517578
1702416896.3333597,51200,-27.530000686645508
1702416904.350562,53248,-26.3799991607666
1702416912.1854832,55296,-24.18000030517578
1702416920.454451,57344,-22.6299991607666
1702416928.3564272,59392,-18.559999465942383
1702416936.0966015,61440,-15.949999809265137
1702416943.9175704,63488,-13.430000305175781
1702416951.721421,65536,-8.84000015258789
1702416959.8065572,67584,-9.25
1702416967.5641594,69632,-6.320000171661377
1702416975.300459,71680,-5.150000095367432
1702416983.0820434,73728,-4.940000057220459
1702416991.131969,75776,-3.8399999141693115
1702416998.8753378,77824,-3.3399999141693115
1702417006.7029815,79872,-2.940000057220459
1702417014.6437404,81920,-2.700000047683716
1702417022.5929625,83968,-2.380000114440918
1702417030.3230138,86016,-2.319999933242798
1702417038.127009,88064,-2.2699999809265137
1702417046.0422955,90112,-2.240000009536743
1702417054.0289032,92160,-2.0199999809265137
1702417061.7959223,94208,-1.9900000095367432
1702417069.67906,96256,-2.0
1702417077.467037,98304,-2.0299999713897705
1702417085.5208976,100352,-1.9800000190734863
1702417093.4353354,102400,-1.899999976158142
1702417101.330485,104448,-1.9500000476837158
1702417109.333917,106496,-1.7799999713897705
1702417117.1375914,108544,-1.9800000190734863
1702417125.6658304,110592,-1.75
1702417133.500302,112640,-1.9800000190734863
1702417141.411344,114688,-1.909999966621399
1702417150.384941,116736,-1.7799999713897705
1702417159.5436869,118784,-1.9199999570846558
1702417168.8697631,120832,-1.8600000143051147
1702417177.0391605,122880,-1.7400000095367432
1702417184.841231,124928,-1.850000023841858
1702417192.7097664,126976,-1.7000000476837158
1702417200.5479732,129024,-1.7999999523162842
1702417208.4783933,131072,-1.8300000429153442
1702417216.6802127,133120,-1.7699999809265137
1702417224.952096,135168,-1.850000023841858
1702417233.1900227,137216,-1.8899999856948853
1702417241.0314748,139264,-1.9299999475479126
1702417248.945365,141312,-1.7899999618530273
1702417256.789318,143360,-1.75
1702417265.3449147,145408,-1.6799999475479126
1702417273.7093892,147456,-1.7999999523162842
1702417281.4997325,149504,-1.7699999809265137
1702417289.595014,151552,-1.809999942779541
1702417297.4265568,153600,-1.9500000476837158
1702417305.2595763,155648,-1.7000000476837158
1702417313.1576204,157696,-1.649999976158142
1702417321.21262,159744,-1.7799999713897705
1702417328.9723744,161792,-1.649999976158142
1702417337.1841674,163840,-1.9500000476837158
1702417345.7383635,165888,-1.9600000381469727
1702417353.718914,167936,-1.7999999523162842
1702417361.4084976,169984,-1.75
1702417369.0767002,172032,-1.7699999809265137
1702417376.6979303,174080,-1.899999976158142
1702417384.5451303,176128,-1.840000033378601
1702417392.3054962,178176,-1.75
1702417399.971861,180224,-1.7300000190734863
1702417407.6672878,182272,-1.7100000381469727
1702417415.535987,184320,-1.840000033378601
1702417423.274288,186368,-1.5800000429153442
1702417430.9302046,188416,-1.8700000047683716
1702417438.8408973,190464,-1.75
1702417446.8164043,192512,-1.7200000286102295
1702417454.5903978,194560,-1.7699999809265137
1702417462.3240125,196608,-1.7200000286102295
1702417470.2479131,198656,-1.840000033378601
1702417477.986307,200704,-1.659999966621399
1702417485.6780224,202752,-1.7300000190734863
1702417493.3623476,204800,-1.7799999713897705
1702417501.2637477,206848,-1.840000033378601
1702417509.0443733,208896,-1.559999942779541
1702417516.8880014,210944,-1.809999942779541
1702417525.0347989,212992,-1.7999999523162842
1702417532.962741,215040,-1.590000033378601
1702417540.677568,217088,-1.9500000476837158
1702417548.3875659,219136,-1.8200000524520874
1702417556.096444,221184,-1.9700000286102295
1702417563.9600587,223232,-1.7300000190734863
1702417571.74409,225280,-1.899999976158142
1702417579.4464357,227328,-1.6799999475479126
1702417587.1631162,229376,-1.850000023841858
1702417595.0761292,231424,-1.7100000381469727
1702417602.8031738,233472,-1.7899999618530273
1702417610.552093,235520,-1.8600000143051147
1702417618.2171142,237568,-1.6799999475479126
1702417626.145528,239616,-1.75
1702417633.8484893,241664,-1.659999966621399
1702417641.5767612,243712,-1.7599999904632568
1702417649.5278237,245760,-1.7400000095367432
1702417657.2151392,247808,-1.7400000095367432
1702417665.1326165,249856,-2.240000009536743
1702417672.7649543,251904,-1.7899999618530273
