Wall time,Step,Value
1702422303.5244894,71912,-2.0799999237060547
1702422304.4821277,71979,-1.9700000286102295
1702422305.264756,72032,-1.9199999570846558
1702422306.6705494,72122,-1.9199999570846558
1702422308.3620124,72223,-1.850000023841858
1702422310.8072572,72384,-1.840000033378601
1702422311.1730447,72409,-1.8700000047683716
1702422311.7145648,72445,-1.8700000047683716
1702422313.351359,72555,-1.9600000381469727
1702422319.2734482,72954,-1.8300000429153442
1702422326.8391058,73460,-1.809999942779541
1702422330.0819764,73675,-1.9500000476837158
1702422331.5728483,73775,-1.8799999952316284
1702422333.9863799,73934,-1.909999966621399
1702422334.5267031,73972,-1.9700000286102295
1702422335.948292,74065,-2.0399999618530273
1702422342.844938,74528,-1.9900000095367432
1702422345.9921236,74734,-2.0199999809265137
1702422347.6838772,74852,-2.009999990463257
1702422348.2041256,74885,-1.9500000476837158
1702422351.732662,75115,-1.8799999952316284
1702422357.7570248,75518,-2.009999990463257
1702422359.781431,75660,-1.9600000381469727
1702422363.4032614,75918,-1.8200000524520874
1702422369.5260675,76336,-1.8200000524520874
1702422369.958857,76367,-1.7599999904632568
1702422370.0842977,76376,-1.7400000095367432
1702422371.4526951,76465,-1.7599999904632568
1702422372.1157866,76511,-1.8300000429153442
1702422373.3638663,76597,-1.8300000429153442
1702422381.6926818,77168,-1.6799999475479126
1702422382.7913132,77248,-1.6799999475479126
1702422384.3333406,77356,-1.7999999523162842
1702422387.6933951,77602,-1.7899999618530273
1702422388.2041066,77640,-1.7200000286102295
1702422389.5578203,77740,-1.8300000429153442
1702422390.8791804,77830,-1.8300000429153442
1702422391.576443,77876,-1.8700000047683716
1702422394.8199058,78111,-1.9500000476837158
1702422395.5714371,78165,-1.8899999856948853
1702422395.7077055,78175,-1.8700000047683716
1702422396.5350893,78235,-1.8200000524520874
1702422398.7306342,78395,-1.7200000286102295
1702422399.4920883,78450,-1.75
1702422402.4294486,78664,-1.7899999618530273
1702422404.9530463,78843,-1.8200000524520874
1702422406.7955844,78958,-1.8200000524520874
1702422408.9267797,79103,-1.9299999475479126
1702422413.203602,79384,-1.7100000381469727
1702422414.7809136,79487,-1.7799999713897705
1702422420.4951556,79870,-1.75
1702422420.6585748,79881,-1.75
1702422420.9569564,79901,-1.7300000190734863
1702422428.6354692,80417,-1.9600000381469727
1702422430.0516348,80515,-2.0199999809265137
1702422431.507117,80613,-1.9299999475479126
1702422431.8225229,80635,-1.8899999856948853
1702422432.6346636,80685,-1.8300000429153442
1702422437.0448618,80975,-1.899999976158142
