Wall time,Step,Value
1702425117.9419105,2048,-43.326087951660156
1702425124.2393725,4096,-43.73118209838867
1702425130.358597,6144,-44.95000076293945
1702425136.6372125,8192,-43.720001220703125
1702425142.6981292,10240,-42.08000183105469
1702425148.9161334,12288,-43.790000915527344
1702425154.7971027,14336,-42.790000915527344
1702425160.8626304,16384,-41.91999816894531
1702425167.391751,18432,-41.150001525878906
1702425173.8295276,20480,-40.86000061035156
1702425180.6780186,22528,-42.29999923706055
1702425186.6658406,24576,-40.380001068115234
1702425192.7786045,26624,-37.209999084472656
1702425199.0139868,28672,-37.84000015258789
1702425205.4824228,30720,-38.560001373291016
1702425212.4856715,32768,-36.5099983215332
1702425218.49593,34816,-34.029998779296875
1702425224.2367337,36864,-30.979999542236328
1702425230.2574897,38912,-26.280000686645508
1702425236.0933578,40960,-27.8799991607666
1702425242.232412,43008,-27.8700008392334
1702425249.0248532,45056,-25.670000076293945
1702425255.114643,47104,-22.889999389648438
1702425260.7803946,49152,-17.459999084472656
1702425266.609035,51200,-14.3100004196167
1702425272.645436,53248,-12.40999984741211
1702425278.66486,55296,-8.539999961853027
1702425285.0243592,57344,-10.239999771118164
1702425292.9199898,59392,-7.260000228881836
1702425299.7776737,61440,-5.679999828338623
1702425306.7054658,63488,-5.539999961853027
1702425313.3584309,65536,-4.539999961853027
1702425320.5454452,67584,-3.619999885559082
1702425328.7067785,69632,-3.369999885559082
1702425337.1902814,71680,-2.9100000858306885
1702425344.104682,73728,-2.619999885559082
1702425350.70038,75776,-2.5
1702425359.2701218,77824,-2.440000057220459
1702425365.9808998,79872,-2.240000009536743
1702425372.563426,81920,-2.1700000762939453
1702425379.269601,83968,-1.7899999618530273
1702425385.6058273,86016,-2.0799999237060547
1702425392.2223132,88064,-1.8200000524520874
1702425398.6450393,90112,-2.0199999809265137
1702425404.942937,92160,-1.8799999952316284
1702425411.723215,94208,-1.8899999856948853
1702425418.475665,96256,-1.7999999523162842
1702425425.8712876,98304,-1.75
1702425432.4081724,100352,-1.8300000429153442
1702425438.6880827,102400,-1.809999942779541
1702425445.2292948,104448,-1.75
1702425451.4502885,106496,-1.7100000381469727
1702425457.8336976,108544,-1.809999942779541
1702425464.1639893,110592,-1.8799999952316284
1702425470.788888,112640,-1.8300000429153442
1702425477.1602616,114688,-1.8300000429153442
1702425483.9220808,116736,-1.7799999713897705
1702425490.4430647,118784,-1.850000023841858
1702425496.9252574,120832,-1.7599999904632568
1702425503.61502,122880,-1.6100000143051147
1702425510.109356,124928,-1.7000000476837158
1702425516.44287,126976,-1.7899999618530273
1702425522.6227849,129024,-1.7300000190734863
1702425528.4577234,131072,-1.6100000143051147
1702425534.6130044,133120,-1.8200000524520874
1702425540.6430793,135168,-1.659999966621399
1702425546.761594,137216,-1.600000023841858
1702425552.6654494,139264,-1.7100000381469727
1702425559.1750188,141312,-1.8200000524520874
1702425565.7522674,143360,-1.7999999523162842
1702425571.9699605,145408,-1.7100000381469727
1702425578.795803,147456,-1.659999966621399
1702425585.1929862,149504,-1.840000033378601
1702425591.2752697,151552,-1.690000057220459
1702425597.3944101,153600,-1.7100000381469727
1702425603.6250422,155648,-2.4200000762939453
1702425610.8153741,157696,-1.7400000095367432
1702425617.1148884,159744,-1.7100000381469727
1702425623.4347458,161792,-1.7400000095367432
1702425629.894409,163840,-1.7899999618530273
1702425636.224282,165888,-1.8799999952316284
1702425642.503783,167936,-1.7400000095367432
1702425649.0859003,169984,-1.840000033378601
1702425655.5673394,172032,-1.7000000476837158
1702425661.6061234,174080,-1.7100000381469727
1702425668.2571313,176128,-1.7899999618530273
1702425674.5903742,178176,-1.6799999475479126
1702425680.708115,180224,-1.7599999904632568
1702425687.0475218,182272,-1.6799999475479126
1702425693.2832,184320,-1.7699999809265137
1702425699.6601658,186368,-1.690000057220459
1702425706.1216524,188416,-1.75
1702425712.2351317,190464,-1.6299999952316284
1702425718.458053,192512,-1.8799999952316284
1702425725.0012772,194560,-1.6699999570846558
1702425731.6141489,196608,-1.7200000286102295
1702425737.9945538,198656,-1.75
1702425744.504708,200704,-1.7000000476837158
1702425750.81627,202752,-1.7400000095367432
1702425757.2448955,204800,-1.7400000095367432
1702425763.4816072,206848,-1.7000000476837158
1702425769.9071326,208896,-1.6699999570846558
1702425775.9643762,210944,-1.6699999570846558
1702425782.1349998,212992,-1.5299999713897705
1702425788.2917717,215040,-1.7999999523162842
1702425794.4634106,217088,-1.7999999523162842
1702425800.7614682,219136,-1.7300000190734863
1702425806.9154053,221184,-1.7999999523162842
1702425812.965598,223232,-1.7599999904632568
1702425819.277711,225280,-1.6200000047683716
1702425825.4420273,227328,-1.6399999856948853
1702425831.7385046,229376,-1.600000023841858
1702425837.9411542,231424,-1.4800000190734863
1702425844.375704,233472,-1.649999976158142
1702425851.05111,235520,-1.7599999904632568
1702425857.5313637,237568,-1.8300000429153442
1702425863.7132988,239616,-1.6100000143051147
1702425869.8624501,241664,-1.5700000524520874
1702425876.1051652,243712,-1.840000033378601
1702425882.3927248,245760,-1.8200000524520874
1702425888.6867676,247808,-1.75
1702425894.8382666,249856,-1.7400000095367432
1702425901.3195045,251904,-1.850000023841858
